date,1. open,2. high,3. low,4. close,5. volume
2014-07-21,1.8223,1.8234,1.8117,1.8224,0.0
2014-07-20,1.8183,1.8216,1.818,1.8189,0.0
2014-07-17,1.8285,1.8294,1.815,1.8281,0.0
2014-07-16,1.8292,1.8319,1.8206,1.8294,0.0
2014-07-15,1.831,1.836,1.8289,1.8305,0.0
2014-07-14,1.8193,1.8344,1.817,1.8188,0.0
2014-07-13,1.8243,1.8246,1.8168,1.8245,0.0
2014-07-10,1.8248,1.8257,1.8182,1.8246,0.0
2014-07-09,1.8207,1.8286,1.8191,1.8212,0.0
2014-07-08,1.8207,1.824,1.8179,1.8206,0.0
2014-07-07,1.8276,1.8286,1.8178,1.8278,0.0
2014-07-06,1.8329,1.8345,1.8257,1.8323,0.0
2014-07-03,1.8345,1.8354,1.831,1.8341,0.0
2014-07-02,1.8187,1.837,1.8176,1.8187,0.0
2014-07-01,1.806,1.8195,1.8054,1.8062,0.0
2014-06-30,1.8139,1.8168,1.8056,1.814,0.0
2014-06-29,1.8095,1.8159,1.8058,1.8085,0.0
2014-06-26,1.8089,1.8093,1.8044,1.8094,0.0
2014-06-25,1.8053,1.8105,1.8038,1.8054,0.0
2014-06-24,1.8132,1.8147,1.8069,1.8125,0.0
2014-06-23,1.807,1.8118,1.8046,1.8071,0.0
2014-06-22,1.8134,1.8134,1.8014,1.8129,0.0
2014-06-19,1.8122,1.8157,1.8102,1.8125,0.0
2014-06-18,1.808,1.8128,1.8036,1.8081,0.0
2014-06-17,1.8165,1.8202,1.8117,1.8161,0.0
2014-06-16,1.8074,1.8176,1.8062,1.807,0.0
2014-06-15,1.8072,1.8115,1.8047,1.8071,0.0
2014-06-12,1.7989,1.8081,1.798,1.7987,0.0
2014-06-11,1.7901,1.7929,1.7847,1.7894,0.0
2014-06-10,1.7871,1.7885,1.7836,1.7874,0.0
2014-06-09,1.7981,1.7981,1.7875,1.798,0.0
2014-06-08,1.7989,1.7991,1.7945,1.7997,0.0
2014-06-05,1.8016,1.8026,1.7961,1.8017,0.0
2014-06-04,1.8041,1.8075,1.7985,1.805,0.0
2014-06-03,1.8076,1.8084,1.7996,1.8072,0.0
2014-06-02,1.812,1.8139,1.8049,1.8123,0.0
2014-06-01,1.801,1.8138,1.7992,1.8017,0.0
2014-05-29,1.7957,1.8043,1.7936,1.7959,0.0
2014-05-28,1.8116,1.8133,1.7963,1.8107,0.0
2014-05-27,1.8141,1.8169,1.8098,1.8143,0.0
2014-05-26,1.8193,1.8238,1.8145,1.8191,0.0
2014-05-25,1.8216,1.8242,1.8208,1.8214,0.0
2014-05-22,1.8279,1.8289,1.8209,1.8278,0.0
2014-05-21,1.8294,1.832,1.8206,1.8292,0.0
2014-05-20,1.8233,1.8331,1.8222,1.8231,0.0
2014-05-19,1.8013,1.8207,1.8009,1.8011,0.0
2014-05-18,1.7961,1.801,1.7959,1.7958,0.0
2014-05-15,1.7947,1.7994,1.7926,1.7943,0.0
2014-05-14,1.7894,1.8005,1.7838,1.789,0.0
2014-05-13,1.7971,1.7971,1.783,1.7971,0.0
2014-05-12,1.8026,1.8075,1.7954,1.8022,0.0
2014-05-11,1.8015,1.8033,1.7989,1.801,0.0
2014-05-08,1.8071,1.8098,1.7963,1.8074,0.0
2014-05-07,1.8182,1.8187,1.8031,1.8179,0.0
2014-05-06,1.8156,1.8198,1.8146,1.815,0.0
2014-05-05,1.8165,1.8221,1.8128,1.817,0.0
2014-05-04,1.8196,1.8242,1.8169,1.8194,0.0
2014-05-01,1.8214,1.8291,1.8192,1.8212,0.0
2014-04-30,1.8177,1.824,1.8131,1.8178,0.0
2014-04-29,1.814,1.8224,1.808,1.8138,0.0
2014-04-28,1.8164,1.8218,1.8127,1.8162,0.0
2014-04-27,1.812,1.8177,1.805,1.8119,0.0
2014-04-24,1.8134,1.8153,1.8078,1.8127,0.0
2014-04-23,1.8055,1.8145,1.8045,1.8067,0.0
2014-04-22,1.7948,1.8141,1.7939,1.7951,0.0
2014-04-21,1.7977,1.7988,1.793,1.7979,0.0
2014-04-20,1.7988,1.8025,1.7975,1.7984,0.0
2014-04-17,1.7987,1.8003,1.7966,1.7984,0.0
2014-04-16,1.7921,1.8003,1.7915,1.7923,0.0
2014-04-15,1.7898,1.799,1.783,1.7899,0.0
2014-04-14,1.7766,1.7914,1.776,1.7768,0.0
2014-04-13,1.7826,1.7827,1.774,1.7822,0.0
2014-04-10,1.7848,1.7905,1.777,1.7852,0.0
2014-04-09,1.7914,1.7918,1.7735,1.7915,0.0
